Date,# Leads META,Spent META,CPL META,# closing META,Conversion (%) META,CPA META,# Leads Total,CPL Total,# closing Total,Conversion (%) total,# C.Découverte,# C.Essentiel,# C.Premium,Acomptes (payés),# Events,# E.Découverte,# E.Essentiel,# E.Premium,Total (B2C),Total (B2B),Total (event),Acomptes (event),Restants (event),CA (Acomptes + Restants),CA généré (Event + Transport),€ transport (Ev. Réalisés),Coût packs (Ev. Réalisés),Heures étudiants,Coût staff étudiants,Essence,Comm Commerciaux,Charges fixes mensuelles,Marge brute opé. (Events),Marge nette opé. (Events),Cashflow Brut (mensuel),Cashflow Brut %,Cashflow Net (mensuel),Cashflow Net (%)
01-2026,159,"1 009,55 €","6,35 €",13,"8,18%","77,66 €",159,"6,35 €",13,"8,18%",1,7,4,"1 884,30 €",12,2,4,6,"2 462,81 €","2 358,51 €","4 821,32 €","917,36 €","3 903,97 €","5 788,26 €","5 471,07 €","494,05 €","786,24 €","45,50","637,00 €","319,20 €","35,00 €","  905,36  € ","4 035,08 €","3 078,88 €","4 010,82 €","69,29%","2 095,91 €","36,21%"
02-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",3,0,2,1,"801,65 €","90,00 €","891,65 €","305,79 €","585,87 €","585,87 €","0,00 €","164,38 €","185,00 €","12,00","168,00 €","85,80 €","0,00 €","  905,36  € ","706,65 €","452,85 €","147,07 €",,"-758,29 €",
03-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",5,0,4,1,"2 080,99 €","0,00 €","2 080,99 €","709,92 €","1 371,07 €","1 371,07 €","0,00 €","379,34 €","277,50 €","30,50","427,00 €","301,80 €","0,00 €","  905,36  € ","1 803,49 €","1 074,69 €","364,77 €",,"-540,59 €",
04-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",3,1,1,1,"1 123,97 €","0,00 €","1 123,97 €","371,90 €","752,07 €","752,07 €","0,00 €","223,14 €","161,87 €","11,50","161,00 €","69,60 €","0,00 €","  905,36  € ","962,10 €","731,50 €","359,60 €",,"-545,76 €",
05-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",9,4,5,0,"3 024,79 €","0,00 €","3 024,79 €","892,56 €","2 256,20 €","2 256,20 €","0,00 €","578,51 €","323,73 €","52,50","735,00 €","487,80 €","0,00 €","  905,36  € ","2 701,06 €","1 478,26 €","709,67 €",,"-195,69 €",
06-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",11,2,7,2,"4 280,99 €","0,00 €","4 280,99 €","1 388,43 €","2 892,56 €","2 892,56 €","0,00 €","801,65 €","554,99 €","52,00","728,00 €","448,80 €","0,00 €","  905,36  € ","3 726,00 €","2 549,20 €","1 160,77 €",,"255,41 €",
07-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",14,3,8,3,"5 504,13 €","0,00 €","5 504,13 €","1 867,77 €","3 760,33 €","3 760,33 €","0,00 €","1 033,06 €","716,86 €","76,00","1 064,00 €","700,80 €","0,00 €","  905,36  € ","4 787,27 €","3 022,47 €","1 278,67 €",,"373,31 €",
08-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",13,1,5,7,"5 510,74 €","0,00 €","5 510,74 €","1 576,86 €","3 933,88 €","3 933,88 €","0,00 €","900,00 €","901,87 €","59,50","833,00 €","524,40 €","0,00 €","  905,36  € ","4 608,87 €","3 251,47 €","1 674,61 €",,"769,25 €",
09-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",8,0,3,4,"3 524,79 €","0,00 €","3 524,79 €","917,36 €","2 607,44 €","2 607,44 €","0,00 €","533,06 €","508,75 €","41,00","574,00 €","358,80 €","0,00 €","  905,36  € ","3 016,04 €","2 083,24 €","1 165,89 €",,"260,53 €",
10-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",3,0,2,1,"1 272,73 €","0,00 €","1 272,73 €","371,90 €","900,83 €","900,83 €","0,00 €","223,14 €","185,00 €","17,00","238,00 €","172,20 €","0,00 €","  905,36  € ","1 087,73 €","677,53 €","305,63 €",,"-599,73 €",
11-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",0,0,0,0,"0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00","0,00 €","0,00 €","0,00 €","  905,36  € ","0,00 €","0,00 €","0,00 €",,"-905,36 €",
12-2026,,,"0,00 €",0,"0,00%","0,00 €",,"0,00 €",0,"0,00%",0,0,0,"0,00 €",1,0,0,1,"446,28 €","0,00 €","446,28 €","123,97 €","322,31 €","322,31 €","0,00 €","74,38 €","92,50 €","7,50","105,00 €","69,00 €","0,00 €","  905,36  € ","353,78 €","179,78 €","55,81 €",,"-849,55 €",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,"1 884,30 €",,,,,,,"32 482,40 €","9 443,80 €","23 286,53 €","25 170,83 €","5 471,07 €","5 404,71 €","4 694,31 €","405,00 €","5 670,00 €","3 538,20 €","35,00 €","10 864,32 €","27 788,09 €","18 579,89 €","11 233,32 €",,"-640,55 €",
2027,,,,,,,,,,,,,,"0,00 €",,,,,,,"1 430,00 €","330,00 €","1 100,00 €",,,,,,,,,,,,,,,
